,STATION,NumEs,UpTime,Lines
30355,1 AV,,,
45570,103 ST,,,
181220,103 ST-CORONA,,,
39541,104 ST,,,
158002,110 ST,,,
39709,111 ST,,,
45303,116 ST,,,
138501,116 ST-COLUMBIA,,,
39877,121 ST,,,
44599,125 ST,3,86.77,1
44134,135 ST,,,
138969,137 ST CITY COL,,,
159192,138/GRAND CONC,,,
53459,14 ST,,,
4571,14 ST-UNION SQ,2,80.86,4/5/6/L/N/Q/R/W
43756,145 ST,2,81.29,A/B/C/D
159321,149/GRAND CONC,,,
115343,14TH STREET,,,
100832,15 ST-PROSPECT,,,
43547,155 ST,,,
139684,157 ST,,,
69748,161/YANKEE STAD,2,65.61,4/B/D
833994,163 ST-AMSTERDM,,,
70488,167 ST,,,
43002,168 ST,,,
85968,169 ST,,,
70548,170 ST,,,
166510,174 ST,,,
3260548,174-175 STS,,,
42330,175 ST,,,
160971,176 ST,,,
25244,18 AV,,,
128176,18 ST,,,
42066,181 ST,3,95.5,A
71427,182-183 STS,,,
161354,183 ST,,,
41940,190 ST,,,
140529,191 ST,,,
97553,2 AV,,,
25412,20 AV,,,
140949,207 ST,,,
88366,21 ST,,,
105524,21 ST-QNSBRIDGE,6,91.9,F
141201,215 ST,,,
168397,219 ST,,,
168529,225 ST,,,
3977,23 ST,,,
141579,231 ST,,,
168655,233 ST,,,
141999,238 ST,,,
27889,25 AV,,,
22025,25 ST,,,
3595,28 ST,,,
30103,3 AV,,,
169201,3 AV 138 ST,,,
164307,3 AV-149 ST,,,
176404,30 AV,,,
149311,33 ST,,,
177362,33 ST-RAWSON ST,,,
2966,34 ST-HERALD SQ,12,85.05,B/D/F/M/N/Q/R/W
184587,34 ST-HUDSON YD,16,91.96,7
50420,34 ST-PENN STA,,,
176152,36 AV,,,
22280,36 ST,,,
3773721,39 AV,,,
100335,4 AV-9 ST,,,
177782,40 ST LOWERY ST,,,
93050,42 ST-BRYANT PK,,,
48239,42 ST-PORT AUTH,,,
22544,45 ST,,,
77787,46 ST,,,
178034,46 ST BLISS ST,,,
91434,47-50 STS ROCK,,,
1685,49 ST,,,
21265,4AV-9 ST,,,
73532,5 AV/53 ST,4,92.85,E/M
505,5 AV/59 ST,,,
174178,5 AVE,,,
26664,50 ST,2,99.62,C/E
153003,51 ST,9,70.25,E/M/6
178562,52 ST,,,
22712,53 ST,,,
26790,55 ST,,,
3094097,57 ST,,,
1101,57 ST-7 AV,,,
1,59 ST,2,50,"1,A,B,C,D"
46455,59 ST COLUMBUS,,,
29888,6 AV,,,
178813,61 ST WOODSIDE,1,74.02,7
81454,63 DR-REGO PARK,,,
78792,65 ST,,,
134027,66 ST-LINCOLN,,,
82031,67 AV,,,
155316,68ST-HUNTER CO,,,
179329,69 ST,,,
13286,7 AV,2,84.17,B/D/E
26916,71 ST,,,
135102,72 ST,,,
107575,72 ST-2 AVE,10,89,Q
179665,74 ST-BROADWAY,,,
83425,75 AV,,,
38827,75 ST-ELDERTS,,,
23762,77 ST,,,
27126,79 ST,,,
24699,8 AV,,,
5671,8 ST-NYU,,,
64825,80 ST,,,
46035,81 ST-MUSEUM,,,
179890,82 ST-JACKSON H,,,
39037,85 ST-FOREST PK,,,
23938,86 ST,,,
108289,86 ST-2 AVE,13,94.58,Q
65119,88 ST,,,
26077,9 AV,,,
180320,90 ST-ELMHURST,,,
45699,96 ST,,,
108910,96 ST-2 AVE,9,91.11,Q
115144,9TH STREET,,,
38104,ALABAMA AV,,,
167899,ALLERTON AV,,,
66511,AQUEDUCT N.COND,,,
66721,AQUEDUCT RACETR,,,
147226,ASTOR PL,,,
176719,ASTORIA BLVD,,,
177018,ASTORIA DITMARS,,,
20593,ATL AV-BARCLAY,3,84.65,2/3/4/5/B/Q/D/N/R
34230,ATLANTIC AV,,,
15350,AVENUE H,,,
102908,AVENUE I,,,
15938,AVENUE J,,,
16484,AVENUE M,,,
103256,AVENUE N,,,
103550,AVENUE P,,,
17579,AVENUE U,,,
104217,AVENUE X,,,
28030,BAY 50 ST,,,
25537,BAY PKWY,,,
23426,BAY RIDGE AV,,,
24316,BAY RIDGE-95 ST,,,
195652,BAYCHESTER AV,,,
67838,BEACH 105 ST,,,
69118,BEACH 25 ST,,,
68908,BEACH 36 ST,,,
68698,BEACH 44 ST,,,
68468,BEACH 60 ST,,,
68258,BEACH 67 ST,,,
67418,BEACH 90 ST,,,
67628,BEACH 98 ST,,,
30775,BEDFORD AV,,,
72482,BEDFORD PK BLVD,,,
90371,BEDFORD-NOSTRAN,,,
99075,BERGEN ST,,,
14885,BEVERLEY ROAD,,,
193834,BEVERLY RD,,,
146830,BLEECKER ST,,,
19397,BOROUGH HALL,3,87.77,2/3/4/5/R
13668,BOTANIC GARDEN,,,
11342,BOWERY,1,97.34,J/Z
142325,BOWLING GREEN,9,93.76,4/5
84728,BRIARWOOD,,,
18503,BRIGHTON BEACH,1,93.06,B/Q
67268,BROAD CHANNEL,,,
12770,BROAD ST,,,
89625,BROADWAY,,,
63605,BROADWAY JCT,3,84.71,A/C/J/L/Z
167398,BRONX PARK EAST,,,
169373,BROOK AV,,,
145853,BROOKLYN BRIDGE,,,
173549,BUHRE AV,,,
168025,BURKE AV,,,
161139,BURNSIDE AV,,,
34104,BUSHWICK AV,,,
96365,B'WAY-LAFAYETTE,1,66.08,B/D/F/6
6622,CANAL ST,,,
34956,CANARSIE-ROCKAW,,,
99621,CARROLL ST,,,
172625,CASTLE HILL AV,,,
138207,CATHEDRAL PKWY,,,
40087,CENTRAL AV,,,
162738,CENTRAL PK N110,,,
11594,CHAMBERS ST,2,97.83,A/C/E/2/3
37978,CHAUNCEY ST,,,
114984,CHRISTOPHER ST,,,
14276,CHURCH AV,,,
114064,CITY / BUS,,,
7875,CITY HALL,,,
185847,CLARK ST,,,
90662,CLASSON AV,,,
38362,CLEVELAND ST,,,
61186,CLINTON-WASH AV,,,
28156,CONEY IS-STILLW,,,
15011,CORTELYOU RD,,,
8253,CORTLANDT ST,,,
87694,COURT SQ,,,
75855,COURT SQ-23 ST,4,72.05,G/7/E/M
38575,CRESCENT ST,,,
190817,CROWN HTS-UTICA,,,
169671,CYPRESS AV,,,
38701,CYPRESS HILLS,,,
20005,DEKALB AV,2,88.34,B/Q/R
11048,DELANCEY/ESSEX,2,94.98,F/J/M/Z
102278,DITMAS AV,,,
41814,DYCKMAN ST,,,
169926,E 143/ST MARY'S,,,
170181,E 149 ST,,,
167146,E 180 ST,,,
34776,EAST 105 ST,,,
98481,EAST BROADWAY,1,98.09,F
195778,EASTCHSTER/DYRE,,,
189980,EASTN PKWY-MUSM,,,
171369,ELDER AV,,,
79890,ELMHURST AV,,,
64277,EUCLID AV,,,
112631,EXCHANGE PLACE,,,
69328,FAR ROCKAWAY,,,
194380,FLATBUSH AV-B.C,,,
37143,FLUSHING AV,,,
183389,FLUSHING-MAIN,3,83.56,7
71550,FORDHAM RD,,,
40591,FOREST AVE,,,
82451,FOREST HILLS 71,,,
61648,FRANKLIN AV,1,95.29,C/S
126020,FRANKLIN ST,,,
166258,FREEMAN ST,,,
40729,FRESH POND RD,,,
24867,FT HAMILTON PKY,,,
12140,FULTON ST,13,97.9,A/C/J/Z/2/3/4/5
37726,GATES AV,,,
31611,GRAHAM AV,,,
189808,GRAND ARMY PLAZ,,,
31866,GRAND ST,,,
80429,GRAND-NEWTOWN,,,
64653,GRANT AV,,,
150235,GRD CNTRL-42 ST,13,80.79,4/5/6/7/S
88492,GREENPOINT AV,,,
111859,GROVE STREET,,,
168151,GUN HILL RD,2,82.24,2/5
33558,HALSEY ST,,,
164181,HARLEM 148 ST,,,
110512,HARRISON,,,
36723,HEWES ST,,,
59149,HIGH ST,5,91.2,A/C
126627,HOUSTON ST,,,
35343,HOWARD BCH JFK,4,85.09,A
186957,HOYT ST,,,
60551,HOYT-SCHER,,,
175144,HUNTERS PT AV,,,
170697,HUNTS POINT AV,,,
165682,INTERVALE AV,1,95.14,2/5
41352,INWOOD-207 ST,,,
165210,JACKSON AV,,,
86606,JAMAICA 179 ST,,,
106660,JAMAICA CENTER,10,88.29,E/J
105776,JAMAICA VAN WK,5,73.85,E
19607,JAY ST-METROTEC,4,93.16,A/C/F/R
32532,JEFFERSON ST,,,
35721,JFK JAMAICA CT1,,,
78918,JKSN HT-ROOSVLT,5,84.53,E/F/M/R/7
111018,JOURNAL SQUARE,,,
180716,JUNCTION BLVD,,,
192275,JUNIUS ST,,,
83855,KEW GARDENS,,,
16907,KINGS HWY,,,
71978,KINGSBRIDGE RD,,,
190692,KINGSTON AV,,,
62319,KINGSTON-THROOP,,,
40255,KNICKERBOCKER,,,
37603,KOSCIUSZKO ST,,,
116809,LACKAWANNA,,,
60761,LAFAYETTE AV,,,
74456,LEXINGTON AV/53,7,69.77,4/5/6/N/R/W
104475,LEXINGTON AV/63,12,93.46,F/Q
63899,LIBERTY AV,,,
34440,LIVONIA AV,,,
170436,LONGWOOD AV,,,
31401,LORIMER ST,,,
141369,MARBLE HILL-225,,,
36177,MARCY AV,,,
41058,METROPOLITAN AV,,,
181841,METS-WILLETS PT,,,
173297,MIDDLETOWN RD,,,
32118,MONTROSE AV,,,
32250,MORGAN AV,,,
171618,MORISN AV/SNDVW,,,
195232,MORRIS PARK,,,
162146,MOSHOLU PKWY,,,
160803,MT EDEN AV,,,
37435,MYRTLE AV,,,
90087,MYRTLE-WILLOUGH,,,
33012,MYRTLE-WYCKOFF,2,94.65,L/M
88921,NASSAU AV,,,
17831,NECK RD,,,
104343,NEPTUNE AV,,,
168865,NEREID AV,,,
187461,NEVINS ST,,,
34650,NEW LOTS,,,
192783,NEW LOTS AV,,,
25035,NEW UTRECHT AV,,,
118439,NEWARK BM BW,,,
119154,NEWARK C,,,
119862,NEWARK HM HE,,,
109792,NEWARK HW BMEBE,,,
194002,NEWKIRK AV,,,
15140,NEWKIRK PLAZA,,,
78414,NORTHERN BLVD,,,
72776,NORWOOD 205 ST,,,
38446,NORWOOD AV,1,97.81,D
62026,NOSTRAND AV,,,
19091,OCEAN PKWY,,,
109582,ORCHARD BEACH,,,
66081,OZONE PK LEFFRT,,,
13458,PARK PLACE,,,
172134,PARKCHESTER,1,89.76,6
14150,PARKSIDE AV,,,
85478,PARSONS BLVD,,,
120780,PATH NEW WTC,,,
120580,PATH WTC 2,,,
113636,PAVONIA/NEWPORT,,,
173801,PELHAM BAY PARK,2,54.27,6
167524,PELHAM PKWY,2,47.84,2/5
192443,PENNSYLVANIA AV,,,
193035,PRESIDENT ST,1,89.7,2/5
6187,PRINCE ST,,,
21727,PROSPECT AV,,,
13836,PROSPECT PARK,,,
76023,QUEENS PLAZA,,,
175900,QUEENSBORO PLZ,,,
63123,RALPH AV,,,
9935,RECTOR ST,,,
590860,RIT-MANHATTAN,,,
197374,RIT-ROOSEVELT,,,
63311,ROCKAWAY AV,,,
65246,ROCKAWAY BLVD,,,
68048,ROCKAWAY PARK B,,,
105272,ROOSEVELT ISLND,10,81.37,F
191813,SARATOGA AV,,,
40423,SENECA AVE,,,
18125,SHEEPSHEAD BAY,,,
64151,SHEPHERD AV,,,
165808,SIMPSON ST,,,
100083,SMITH-9 ST,6,80.57,F/G
122580,SOUTH FERRY,10,93.98,1/R/W
54677,SPRING ST,,,
171882,ST LAWRENCE AV,,,
195988,ST. GEORGE,,,
77409,STEINWAY ST,,,
193173,STERLING ST,,,
85064,SUTPHIN BLVD,,,
106069,SUTPHIN-ARCHER,6,94.77,E/J/Z
34356,SUTTER AV,,,
191573,SUTTER AV-RUTLD,,,
116144,THIRTY ST,,,
117718,THIRTY THIRD ST,,,
2614,TIMES SQ-42 ST,9,82.15,N/Q/R/S/W/1/2/3/7
197080,TOMPKINSVILLE,,,
70968,TREMONT AV,,,
115783,TWENTY THIRD ST,,,
21013,UNION ST,,,
62571,UTICA AV,,,
142157,V.CORTLANDT PK,,,
38230,VAN SICLEN AV,,,
64025,VAN SICLEN AVE,,,
174598,VERNON-JACKSON,,,
53879,W 4 ST-WASH SQ,2,87.36,A/B/C/D/E/F/M
29036,W 8 ST-AQUARIUM,1,92.83,F/Q
168991,WAKEFIELD/241,,,
123848,WALL ST,2,100,2/3
166768,WEST FARMS SQ,1,93.05,2/5
173171,WESTCHESTER SQ,,,
10402,WHITEHALL S-FRY,,,
171117,WHITLOCK AV,,,
33894,WILSON AV,,,
193299,WINTHROP ST,,,
39205,WOODHAVEN BLVD,,,
162524,WOODLAWN,,,
56842,WORLD TRADE CTR,,,
1114384,WTC-CORTLANDT,1,97.59,1
98949,YORK ST,,,
172919,ZEREGA AV,,,
